Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
130384999,10/6/2021 15:01,10/6/2021 15:07,70747,384,1060,Penn Ave & 29th St,1017,21st St & Penn Ave,Subscriber
130392758,10/6/2021 18:25,10/6/2021 19:23,70747,3449,1017,21st St & Penn Ave,1055,Promaster,Customer
130671458,10/9/2021 16:13,10/9/2021 16:19,70837,364,,BIKE 70837,1004,First Ave & B St (T Station),Subscriber
130733183,10/10/2021 12:46,10/10/2021 14:09,70758,4981,1004,First Ave & B St (T Station),1004,First Ave & B St (T Station),Customer
130738878,10/10/2021 14:11,10/10/2021 14:12,70136,90,,BIKE 70136,1061,33rd St & Penn Ave ,Customer
130747956,10/10/2021 20:12,10/10/2021 20:19,70837,409,1004,First Ave & B St (T Station),1082,W Station Square Dr & Bessemer Court,Customer
131038907,10/14/2021 9:55,10/14/2021 20:52,70293,39366,49671,9th St & Penn Ave,49641,11th St & Penn Ave,Customer
131100465,10/15/2021 5:17,10/15/2021 16:29,70293,40278,49641,11th St & Penn Ave,1051,Transit,Customer
131638842,10/21/2021 12:17,10/21/2021 13:56,70701,5976,1074,South Side Trail & S 4th St,,BIKE 70701,Customer
132098067,10/27/2021 11:11,10/27/2021 11:12,70701,92,1074,South Side Trail & S 4th St,1074,South Side Trail & S 4th St,Subscriber
132515039,11/1/2021 17:10,11/1/2021 17:42,71184,1908,1004,First Ave & B St (T Station),1059,Burns White Center at 3 Crossings,Customer
132533300,11/2/2021 4:57,11/2/2021 5:16,70670,1127,1021,Taylor St & Liberty Ave,1027,Shady Ave & Ellsworth Ave,Subscriber
132572100,11/2/2021 13:25,11/3/2021 12:59,71184,84850,1059,Burns White Center at 3 Crossings,1011,Fort Duquesne Blvd & 7th St,Customer
132651832,11/3/2021 14:33,11/3/2021 14:52,70824,1146,1022,Liberty Ave & S Millvale Ave (West Penn Hospital),1060,Penn Ave & 29th St,Subscriber
132799733,11/5/2021 17:08,11/6/2021 11:54,70824,67558,1060,Penn Ave & 29th St,,BIKE 70824,Customer
132988919,11/8/2021 19:03,11/8/2021 19:24,70212,1235,49611,24th St & Smallman St,49941,Allegheny Station,Customer
133063306,11/9/2021 15:47,11/9/2021 15:49,70840,112,1061,33rd St & Penn Ave ,1061,33rd St & Penn Ave ,Customer
133110931,11/10/2021 9:36,11/10/2021 9:46,70509,603,1000,Liberty Ave & Stanwix St,1014,Ridge Ave & Brighton Rd (CCAC),Subscriber
133223204,11/11/2021 19:07,11/12/2021 10:03,70501,53777,1001,Forbes Ave & Market Square,1001,Forbes Ave & Market Square,Customer
133223356,11/11/2021 19:17,11/11/2021 19:26,70505,546,49801,Microsoft,1012,North Shore Trail & Fort Duquesne Bridge,Customer
133224908,11/11/2021 21:52,11/11/2021 21:59,70670,400,1053,Hamilton Ave & Zodiac Way,1066,N Homewood Ave & Finance St (Homewood Station),Subscriber
