trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype
139914921,4/1/2022 0:58,4/1/2022 1:03,70707,300,,BIKE 70707,,BIKE 70707,Subscriber
139915677,4/1/2022 1:24,4/1/2022 1:30,70798,345,,BIKE 70798,1041,Fifth Ave & S Bouquet St,Subscriber
139916218,4/1/2022 1:37,4/1/2022 1:50,70149,743,1004,First Ave & B St (T Station),1048,S 18th St & Sidney St,Customer
139916247,4/1/2022 1:38,4/1/2022 1:50,70688,699,1004,First Ave & B St (T Station),1048,S 18th St & Sidney St,Customer
139921451,4/1/2022 3:41,4/1/2022 3:55,71159,867,1095,Schenley Dr & Forbes Ave (Schenley Plaza),1044,Zulema St & Coltart Ave,Subscriber
139922675,4/1/2022 4:16,4/1/2022 4:27,70442,634,1033,Ivy St & Walnut St   ,1095,Schenley Dr & Forbes Ave (Schenley Plaza),Subscriber
139924898,4/1/2022 5:31,4/1/2022 5:38,70707,468,,BIKE 70707,1024,S Negley Ave & Baum Blvd,Subscriber
139929528,4/1/2022 7:20,4/1/2022 7:27,70225,431,1044,Zulema St & Coltart Ave,1084,Hot Metal St & Tunnel Blvd,Subscriber
139933519,4/1/2022 8:37,4/1/2022 8:45,70554,459,1021,Taylor St & Liberty Ave,1019,42nd St & Butler St,Subscriber
139940694,4/1/2022 10:42,4/1/2022 10:43,70754,99,1085,Eliza Furnace Trail at Swinburne St,1085,Eliza Furnace Trail at Swinburne St,Subscriber
139940826,4/1/2022 10:44,4/1/2022 11:28,70445,2628,1085,Eliza Furnace Trail at Swinburne St,1059,Burns White Center at 3 Crossings,Subscriber
139941695,4/1/2022 10:57,4/1/2022 11:24,70920,1625,1025,Penn Ave & N Fairmount St,1017,21st St & Penn Ave,Customer
139941697,4/1/2022 10:57,4/1/2022 11:23,70778,1577,1025,Penn Ave & N Fairmount St,1017,21st St & Penn Ave,Customer
139943302,4/1/2022 11:23,4/1/2022 11:36,70225,731,1084,Hot Metal St & Tunnel Blvd,1004,First Ave & B St (T Station),Customer
139943318,4/1/2022 11:24,4/1/2022 11:38,71213,866,1033,Ivy St & Walnut St   ,1040,O'Hara St and University Place (Soldiers and Sailors Memorial),Subscriber
139944783,4/1/2022 11:50,4/1/2022 12:04,70505,812,49801,Microsoft,1017,21st St & Penn Ave,Subscriber
139945423,4/1/2022 12:01,4/1/2022 12:05,70971,270,1011,Fort Duquesne Blvd & 7th St,,BIKE 70971,Subscriber
139946086,4/1/2022 12:12,4/1/2022 12:56,70682,2618,1005,Forbes Ave & Grant St,1005,Forbes Ave & Grant St,Subscriber
139946137,4/1/2022 12:13,4/1/2022 12:25,70920,703,1017,21st St & Penn Ave,49801,Microsoft,Subscriber
139946481,4/1/2022 12:19,4/1/2022 14:48,70515,8965,1061,33rd St & Penn Ave ,1061,33rd St & Penn Ave ,Customer
139947916,4/1/2022 12:44,4/1/2022 12:47,70654,162,49951,Butler St & 36th St,1061,33rd St & Penn Ave ,Customer
139948886,4/1/2022 13:04,4/1/2022 13:09,71209,314,1044,Zulema St & Coltart Ave,1095,Schenley Dr & Forbes Ave (Schenley Plaza),Subscriber
139949755,4/1/2022 13:22,4/1/2022 13:30,70965,502,1040,O'Hara St and University Place (Soldiers and Sailors Memorial),,BIKE 70965,Subscriber
139949825,4/1/2022 13:23,4/2/2022 8:35,70670,69113,1024,S Negley Ave & Baum Blvd,1024,S Negley Ave & Baum Blvd,Customer
139950682,4/1/2022 13:41,4/1/2022 13:53,70932,721,1072,Glasshouse,1010,10th St & Penn Ave,Customer
139950931,4/1/2022 13:46,4/1/2022 14:07,70845,1228,1034,Ellsworth Ave & N Neville St,1019,42nd St & Butler St,Customer
139950978,4/1/2022 13:47,4/1/2022 14:08,70276,1235,1034,Ellsworth Ave & N Neville St,1019,42nd St & Butler St,Customer
139951737,4/1/2022 14:06,4/1/2022 14:11,71209,293,1095,Schenley Dr & Forbes Ave (Schenley Plaza),1044,Zulema St & Coltart Ave,Subscriber
139952552,4/1/2022 14:27,4/1/2022 14:31,71209,271,1044,Zulema St & Coltart Ave,1093,S Bouquet Ave & Sennott St,Subscriber
139953222,4/1/2022 14:44,4/1/2022 14:54,71157,599,1033,Ivy St & Walnut St   ,1028,Penn Ave & Putnam St (Bakery Square),Subscriber
139953313,4/1/2022 14:47,4/1/2022 14:58,70820,683,1010,10th St & Penn Ave,1072,Glasshouse,Customer
139953986,4/1/2022 15:07,4/1/2022 15:13,70246,323,1040,O'Hara St and University Place (Soldiers and Sailors Memorial),1093,S Bouquet Ave & Sennott St,Subscriber
139954450,4/1/2022 15:22,4/1/2022 15:54,70939,1915,1024,S Negley Ave & Baum Blvd,1000,Liberty Ave & Stanwix St,Customer
139954576,4/1/2022 15:26,4/1/2022 15:40,70573,785,1084,Hot Metal St & Tunnel Blvd,1072,Glasshouse,Subscriber
139955668,4/1/2022 16:06,4/1/2022 16:11,70971,299,,BIKE 70971,1011,Fort Duquesne Blvd & 7th St,Subscriber
139955898,4/1/2022 16:14,4/1/2022 16:30,70805,983,1026,Penn Ave & S Whitfield St,1041,Fifth Ave & S Bouquet St,Subscriber
139956048,4/1/2022 16:20,4/1/2022 16:39,70800,1136,1048,S 18th St & Sidney St,1093,S Bouquet Ave & Sennott St,Customer
139956544,4/1/2022 16:42,4/1/2022 16:59,70682,1061,1005,Forbes Ave & Grant St,1045,S 27th St & Sidney St. (Southside Works),Customer
139956611,4/1/2022 16:46,4/1/2022 16:51,71209,336,1093,S Bouquet Ave & Sennott St,,BIKE 71209,Subscriber
139956665,4/1/2022 16:48,4/1/2022 16:56,70246,506,1093,S Bouquet Ave & Sennott St,,BIKE 70246,Subscriber
139956731,4/1/2022 16:51,4/1/2022 16:59,70442,446,1095,Schenley Dr & Forbes Ave (Schenley Plaza),1040,O'Hara St and University Place (Soldiers and Sailors Memorial),Subscriber
139957369,4/1/2022 17:19,4/1/2022 17:27,70750,480,1026,Penn Ave & S Whitfield St,1033,Ivy St & Walnut St   ,Subscriber
139957495,4/1/2022 17:25,4/1/2022 17:29,71192,211,,BIKE 71192,1010,10th St & Penn Ave,Subscriber
139957727,4/1/2022 17:36,4/1/2022 17:41,70827,311,1095,Schenley Dr & Forbes Ave (Schenley Plaza),1044,Zulema St & Coltart Ave,Subscriber
139957841,4/1/2022 17:41,4/2/2022 13:26,70977,71069,1040,O'Hara St and University Place (Soldiers and Sailors Memorial),1034,Ellsworth Ave & N Neville St,Customer
139958175,4/1/2022 17:57,4/1/2022 18:13,70753,956,1041,Fifth Ave & S Bouquet St,,BIKE 70753,Subscriber
139958194,4/1/2022 17:58,4/1/2022 18:13,70805,909,1041,Fifth Ave & S Bouquet St,,BIKE 70805,Subscriber
139958762,4/1/2022 18:27,4/1/2022 18:54,70737,1618,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1019,42nd St & Butler St,Customer
139958784,4/1/2022 18:28,4/1/2022 18:54,70532,1534,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1019,42nd St & Butler St,Customer
139959073,4/1/2022 18:43,4/1/2022 18:55,70505,708,1021,Taylor St & Liberty Ave,1040,O'Hara St and University Place (Soldiers and Sailors Memorial),Subscriber
139959137,4/1/2022 18:46,4/1/2022 19:21,71197,2115,1021,Taylor St & Liberty Ave,1019,42nd St & Butler St,Customer
139959204,4/1/2022 18:49,4/1/2022 19:03,70573,826,1072,Glasshouse,1045,S 27th St & Sidney St. (Southside Works),Customer
139959530,4/1/2022 19:05,4/1/2022 19:23,70973,1120,1048,S 18th St & Sidney St,1017,21st St & Penn Ave,Customer
139959631,4/1/2022 19:09,4/1/2022 19:18,70805,514,,BIKE 70805,,BIKE 70805,Subscriber
139959635,4/1/2022 19:10,4/1/2022 19:18,70753,537,,BIKE 70753,,BIKE 70753,Subscriber
139959852,4/1/2022 19:20,4/1/2022 19:35,70401,875,1045,S 27th St & Sidney St. (Southside Works),1072,Glasshouse,Customer
139960418,4/1/2022 19:55,4/1/2022 20:01,70246,363,,BIKE 70246,,BIKE 70246,Subscriber
139960622,4/1/2022 20:08,4/1/2022 20:17,70304,547,1034,Ellsworth Ave & N Neville St,1033,Ivy St & Walnut St   ,Subscriber
139960740,4/1/2022 20:17,4/1/2022 20:25,70246,485,,BIKE 70246,,BIKE 70246,Subscriber
139961042,4/1/2022 20:40,4/1/2022 21:00,70805,1200,,BIKE 70805,1044,Zulema St & Coltart Ave,Subscriber
139961044,4/1/2022 20:40,4/1/2022 21:00,70753,1193,,BIKE 70753,1044,Zulema St & Coltart Ave,Subscriber
139961328,4/1/2022 21:04,4/1/2022 21:12,71209,467,,BIKE 71209,,BIKE 71209,Subscriber
139961854,4/1/2022 21:47,4/1/2022 21:52,70609,346,1028,Penn Ave & Putnam St (Bakery Square),1029,Alder St & S Highland Ave,Subscriber
139962107,4/1/2022 22:11,4/1/2022 22:23,71179,684,1033,Ivy St & Walnut St   ,,BIKE 71179,Customer
139962463,4/1/2022 22:56,4/1/2022 22:59,71235,193,1041,Fifth Ave & S Bouquet St,1044,Zulema St & Coltart Ave,Subscriber
139962705,4/1/2022 23:39,4/1/2022 23:41,70750,102,1033,Ivy St & Walnut St   ,1033,Ivy St & Walnut St   ,Subscriber
139962725,4/1/2022 23:42,4/1/2022 23:53,70304,662,1033,Ivy St & Walnut St   ,1034,Ellsworth Ave & N Neville St,Subscriber
139962739,4/1/2022 23:43,4/1/2022 23:53,70625,586,1033,Ivy St & Walnut St   ,1034,Ellsworth Ave & N Neville St,Subscriber
139962943,4/2/2022 0:26,4/2/2022 0:36,70246,553,,BIKE 70246,,BIKE 70246,Subscriber
139964735,4/2/2022 3:15,4/2/2022 3:21,70738,329,1028,Penn Ave & Putnam St (Bakery Square),,BIKE 70738,Subscriber
139966133,4/2/2022 4:12,4/2/2022 4:18,70511,345,1093,S Bouquet Ave & Sennott St,,BIKE 70511,Subscriber
139972487,4/2/2022 7:17,4/2/2022 7:29,71169,775,1000,Liberty Ave & Stanwix St,49941,Allegheny Station,Customer
139972683,4/2/2022 7:20,4/2/2022 7:25,70738,286,,BIKE 70738,1024,S Negley Ave & Baum Blvd,Subscriber
139974753,4/2/2022 8:04,4/2/2022 11:39,70932,12931,1010,10th St & Penn Ave,1017,21st St & Penn Ave,Customer
139976043,4/2/2022 8:31,4/2/2022 8:41,70823,638,1021,Taylor St & Liberty Ave,1026,Penn Ave & S Whitfield St,Subscriber
139978897,4/2/2022 9:33,4/2/2022 9:53,70800,1156,1093,S Bouquet Ave & Sennott St,,BIKE 70800,Subscriber
139979001,4/2/2022 9:36,4/2/2022 11:49,70966,8032,1048,S 18th St & Sidney St,1048,S 18th St & Sidney St,Customer
139979107,4/2/2022 9:37,4/2/2022 9:59,71223,1311,1001,Forbes Ave & Market Square,1017,21st St & Penn Ave,Customer
139979120,4/2/2022 9:38,4/2/2022 9:59,70666,1293,1001,Forbes Ave & Market Square,1017,21st St & Penn Ave,Customer
139980340,4/2/2022 10:06,4/2/2022 10:32,70800,1510,,BIKE 70800,1093,S Bouquet Ave & Sennott St,Subscriber
139981441,4/2/2022 10:30,4/2/2022 10:39,70417,540,1084,Hot Metal St & Tunnel Blvd,1048,S 18th St & Sidney St,Subscriber
139981858,4/2/2022 10:39,4/2/2022 11:36,70643,3394,1059,Burns White Center at 3 Crossings,1017,21st St & Penn Ave,Customer
139982634,4/2/2022 10:56,4/2/2022 11:31,71191,2111,,BIKE 71191,1017,21st St & Penn Ave,Customer
139983224,4/2/2022 11:08,4/2/2022 12:12,70783,3841,1045,S 27th St & Sidney St. (Southside Works),1045,S 27th St & Sidney St. (Southside Works),Customer
